Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-1036.916	-1247.851	210.9352	1.921753	1.336594	1.444943
6	-1035.035	-1246.463	211.4282	2.045272	1.113642	1.092871
12	-1042.18	-1253.829	211.6492	2.020018	0.8791784	1.129209
18	-1034.853	-1245.78	210.9272	1.937595	1.874605	1.129209
24	-1031.262	-1242.699	211.4379	2.361723	1.128608	0.7006692
30	-1034.914	-1246.306	211.3917	2.329231	1.217254	0.7006692
36	-1035.156	-1246.392	211.2361	2.526389	1.217254	0.6133461
42	-1031.51	-1242.83	211.3198	2.413961	1.211149	0.6872573
48	-1036.085	-1247.527	211.4419	2.430055	1.104106	0.5887322
54	-1034.692	-1246.094	211.4022	2.502763	1.068922	0.5887322
60	-1036.035	-1247.217	211.1827	2.537008	1.26767	0.6132372
66	-1041.448	-1252.344	210.8955	2.624475	1.555715	0.4990354
72	-1037.63	-1248.656	211.0267	2.624475	1.34227	0.6324025
78	-1027.059	-1238.287	211.2281	2.328664	1.354313	0.7792035
84	-1036.952	-1248.639	211.6877	2.38375	0.8478176	0.7218984
90	-1030.235	-1241.863	211.6288	2.198762	1.079142	0.730515
96	-1039.068	-1250.355	211.2864	2.363042	1.28226	0.7283458
102	-1053.316	-1265.314	211.998	2.174544	0.778657	0.6867907
108	-1056.155	-1267.386	211.231	2.440261	1.187359	0.8126843
114	-1052.157	-1263.799	211.6416	2.35976	0.8031798	0.8839866
120	-1050.861	-1262.601	211.7392	2.497112	0.71019	0.7235531
126	-1040.041	-1251.519	211.4786	2.474836	0.9962327	0.6478333
132	-1040.732	-1252.629	211.897	2.272313	0.7908048	0.6649592
138	-1036.142	-1247.87	211.7284	2.225431	0.8707026	0.8489903
144	-1029.444	-1240.385	210.9413	2.107963	1.969693	0.8881446
150	-1019.883	-1231.087	211.204	2.225956	1.449473	0.8482508
156	-1023.813	-1235.102	211.2894	2.084383	1.299809	1.034321
162	-1018.029	-1229.343	211.3138	1.990889	1.384937	1.03521
168	-1034.195	-1245.653	211.4584	2.127263	1.292493	0.8077508
174	-1035.035	-1246.578	211.5438	2.105056	1.240943	0.7805611
180	-1039.377	-1250.832	211.4548	2.16879	1.183891	0.8749132
186	-1031.235	-1242.312	211.0762	2.00656	1.813328	0.9562111
192	-1035.475	-1246.509	211.0339	2.112837	1.813328	0.8862077
198	-1030.757	-1241.898	211.1419	2.23191	1.481633	0.8862077
204	-1040.725	-1251.812	211.0871	1.98773	1.341721	1.269057
210	-1047.964	-1259.168	211.204	1.945312	1.245416	1.272982
216	-1047.687	-1258.996	211.3089	1.936716	1.19348	1.230064
222	-1054.643	-1265.756	211.1129	1.898016	1.416381	1.273532
228	-1059.03	-1270.155	211.1242	1.726345	1.70857	1.233727
234	-1058.716	-1269.615	210.8988	1.914677	1.330279	1.48184
240	-1044.493	-1255.571	211.0787	2.10588	1.295132	1.208744
246	-1035.304	-1246.572	211.2679	2.025609	1.167688	1.208744
252	-1039.542	-1250.85	211.3073	1.960202	1.215267	1.195354
258	-1037.346	-1247.406	210.0598	1.797327	1.923839	1.870316
264	-1034.604	-1244.996	210.3918	1.733052	1.277956	1.996666
270	-1042.236	-1251.855	209.619	1.767092	1.545845	2.342686
276	-1040.433	-1250.637	210.2043	1.629364	1.122323	2.275471
282	-1043.696	-1254.768	211.0718	1.937198	1.223244	1.400282
288	-1052.042	-1262.237	210.1947	1.741834	1.369965	2.072169
294	-1042.389	-1251.848	209.4592	1.720357	1.815125	2.358718
300	-1046.079	-1255.799	209.7203	1.73606	1.108022	2.522141
306	-1050.02	-1259.441	209.4207	1.640099	1.666481	2.494756
312	-1037.697	-1248.758	211.061	2.023651	1.349067	1.256067
318	-1035.278	-1246.657	211.3784	2.320558	0.8913956	1.089975
324	-1038.679	-1250.283	211.6042	2.140774	0.9813694	0.9520885
330	-1025.143	-1236.678	211.5349	2.15263	1.015418	0.9762676
336	-1026.276	-1236.993	210.7174	2.154831	1.602196	1.275848
342	-1031.564	-1242.469	210.9047	2.104217	1.422867	1.271101
348	-1035.147	-1246.462	211.3148	2.033506	1.037629	1.26429
354	-1033.419	-1244.746	211.3265	2.025624	0.9632942	1.32178
360	-1045.017	-1255.51	210.4925	1.716265	2.021096	1.581865
366	-1050.643	-1261.08	210.4374	1.680742	2.148915	1.595039
372	-1054.727	-1264.168	209.4408	1.560307	1.863428	2.452271
378	-1046.901	-1255.676	208.7746	1.454124	2.777695	2.633458
384	-1040.011	-1249.852	209.8405	1.535326	1.445456	2.395997
390	-1052.333	-1263.319	210.9859	2.001157	0.8918698	1.654244
396	-1050.285	-1261.311	211.0256	2.001157	1.338343	1.310554
402	-1050.362	-1259.822	209.4607	1.499198	1.511904	2.62491
408	-1044.634	-1254.643	210.0087	1.395876	1.657719	2.281088
414	-1040.545	-1250.873	210.3284	1.533892	1.087577	2.277731
420	-1067.948	-1278.678	210.7303	1.808509	1.403559	1.641391
426	-1054.945	-1266.049	211.104	2.082393	1.45323	1.097382
432	-1035.567	-1246.098	210.5306	1.800947	1.517744	1.727933
438	-1030.207	-1240.357	210.1495	1.793765	1.49675	2.003813
444	-1033.069	-1243.908	210.8391	1.754773	1.471614	1.563881
450	-1042.696	-1252.321	209.6243	1.527382	1.929971	2.33132
456	-1039.986	-1250.664	210.6779	1.905987	1.769351	1.416082
462	-1040.645	-1251.022	210.377	1.984713	1.874524	1.533923
468	-1042.25	-1252.274	210.0237	1.741964	1.994009	1.904016
474	-1031.22	-1242.788	211.5689	2.029889	1.200699	0.8866134
480	-1031.507	-1242.239	210.7324	2.370692	2.164458	0.6474652
486	-1039.651	-1250.691	211.0405	2.309602	1.781594	0.5979688
492	-1032.131	-1243.249	211.1179	2.1879	1.777513	0.7007394
498	-1044.643	-1255.366	210.7232	2.50771	1.956372	0.6278191
504	-1047.789	-1257.693	209.9041	1.60926	2.460823	1.904108
510	-1055.294	-1265.764	210.4695	2.402531	2.683977	0.5523657
516	-1036.176	-1246.649	210.4733	2.267146	2.879327	0.6721971
522	-1055.088	-1266.327	211.2389	1.923979	1.110748	1.358158
528	-1053.599	-1264.628	211.0286	1.90737	1.439992	1.319914
534	-1036.579	-1246.899	210.3201	1.892798	2.672149	1.320424
540	-1045.113	-1256.358	211.2455	2.064223	1.31385	1.084108
546	-1037.908	-1248.606	210.6984	1.921003	1.274508	1.65779
552	-1046.805	-1258.17	211.3656	1.974393	1.274508	1.086077
558	-1043.103	-1254.228	211.1256	2.007801	1.392781	1.185641
564	-1034.319	-1245.327	211.0088	2.151445	1.738868	0.9247445
570	-1036.134	-1247.394	211.2601	2.123202	1.303587	1.021983
576	-1040.697	-1251.254	210.5567	2.152596	1.671723	1.368532
582	-1050.15	-1260.906	210.7565	2.152596	1.671723	1.20501
588	-1053.815	-1264.79	210.975	2.118414	1.516749	1.138971
594	-1045.433	-1256.014	210.5817	2.033968	1.91676	1.318292
600	-1039.061	-1250	210.9385	1.941461	1.556458	1.295896
606	-1036.879	-1247.242	210.3631	1.905744	1.644304	1.709202
612	-1034.682	-1245.247	210.5644	1.86034	1.835078	1.505229
618	-1035.964	-1246.639	210.675	1.86034	1.157973	1.787893
624	-1029.794	-1239.641	209.8472	1.796675	1.268631	2.31497
630	-1022.685	-1233.058	210.3734	1.783215	1.299598	1.963431
636	-1030.697	-1241.469	210.7715	1.769405	1.050946	1.85257
642	-1018.784	-1229.264	210.4803	1.8968	1.188537	1.87806
648	-1025.806	-1236.504	210.6977	1.8968	1.073908	1.800553
654	-1022.84	-1233.371	210.5314	1.754669	0.9675603	2.0791
660	-1024.03	-1234.773	210.7426	1.856234	1.437845	1.578819
666	-1031.344	-1242.075	210.7315	2.086411	1.452064	1.405965
672	-1034.824	-1246.056	211.2314	1.930842	1.452064	1.120145
678	-1043.565	-1254.399	210.8336	2.02577	1.757289	1.199014
684	-1047.279	-1258.517	211.2379	2.02577	1.066519	1.310735
690	-1029.927	-1240.882	210.9545	2.010665	1.331501	1.364155
696	-1026.067	-1237.08	211.0128	2.010665	1.286266	1.347135
702	-1026.652	-1237.482	210.8299	2.111852	1.416502	1.329589
708	-1022.42	-1232.7	210.2803	2.047532	1.616226	1.681103
714	-1040.795	-1251.28	210.4851	2.059556	1.423457	1.626199
720	-1043.654	-1254.136	210.4823	1.769671	1.729114	1.680807
726	-1042.687	-1253.883	211.1957	1.957872	1.067643	1.397143
732	-1041.734	-1252.549	210.8152	2.005593	1.667276	1.281349
738	-1048.964	-1259.818	210.8539	1.736355	1.589008	1.503542
744	-1038.929	-1248.645	209.7161	1.635624	1.186872	2.543018
750	-1055.692	-1266.434	210.7426	1.746536	1.077312	1.870766
756	-1039.823	-1250.615	210.7923	1.924361	0.9216915	1.82163
762	-1037.123	-1248.296	211.1738	1.731895	0.8061168	1.780051
768	-1037.853	-1248.354	210.501	1.843002	1.401726	1.780051
774	-1036.619	-1246.221	209.6017	1.80378	1.596887	2.307317
780	-1024.899	-1234.933	210.0337	1.699601	1.178442	2.307317
786	-1025.832	-1236.231	210.3998	1.694632	0.9752103	2.199005
792	-1016.171	-1226.791	210.6204	1.652797	1.404083	1.827787
798	-1021.684	-1232.645	210.961	1.718528	0.7653759	1.967588
804	-1022.909	-1233.91	211.0012	1.906599	1.358319	1.392309
810	-1021.265	-1232.651	211.3854	1.879378	0.9833951	1.374859
816	-1027.644	-1237.422	209.7778	1.879378	1.9404	1.998367
822	-1030.449	-1240.816	210.3672	1.792271	0.9854936	2.150002
828	-1037.537	-1246.787	209.2494	1.697127	1.030186	2.880525
834	-1036.189	-1245.382	209.1931	1.569192	1.231951	2.880525
840	-1054.579	-1266.008	211.4289	2.078372	1.092154	1.080007
846	-1046.954	-1258.097	211.143	2.112447	1.092154	1.297728
852	-1043.768	-1254.974	211.2052	2.152361	1.152409	1.16517
858	-1050.893	-1261.837	210.9435	1.96501	1.420235	1.353805
864	-1049.275	-1260.262	210.9862	1.718332	1.875852	1.266222
870	-1062.178	-1273.085	210.9077	1.602148	1.716945	1.498509
876	-1064.633	-1275.286	210.6532	1.9176	1.700552	1.460711
882	-1042.242	-1252.729	210.4862	1.867395	2.051911	1.460711
888	-1041.072	-1251.429	210.3574	1.829349	2.358718	1.460711
894	-1036.375	-1247.229	210.8545	1.874197	1.475891	1.460711
900	-1040.028	-1251.277	211.2484	1.920048	1.287388	1.227839
906	-1042.765	-1253.909	211.1434	1.938857	1.553061	1.125468
912	-1057.908	-1268.069	210.1606	1.562897	1.369476	2.211401
